品牌/Brand,車型/Model,資訊/Info,年份/Year,冷媒/Refrigerant,冷媒量/Amount (g),冷凍油/Oil (cc)
Unknown / Unknown,33 D-TURBO / 33 D-TURBO, / ,1986 - 1994,R12 → R134a,900,見規格 / See Spec
Unknown / Unknown,145/146 1.3 1.4 1.6 1.7 / 145/146 1.3 1.4 1.6 1.7, / ,1994 - 1997,R134a,700 ± 25,240 ± 15
Unknown / Unknown,145/146 1.9 JTD / 145/146 1.9 JTD, / ,1998 - 2001,R134a,700 ± 25,140
Unknown / Unknown,145/146 D-TURBO / 145/146 D-TURBO, / ,1994 - 2001,R134a,700 ± 25,235 ± 15
Unknown / Unknown,145/146 TWIN SPARK / 145/146 TWIN SPARK, / ,1996 - 2001,R134a,700 ± 25,150 ± 20
Unknown / Unknown,155 1.6 1.8 2.0 16V / 155 1.6 1.8 2.0 16V, / ,1995 - 1997,R134a,700,290 ± 30
Unknown / Unknown,155 1.9 DIESEL / 155 1.9 DIESEL, / ,1993 - 1997,R134a,700,235
Unknown / Unknown,156 1.9 JTD / 156 1.9 JTD, / ,1997 - 2006,R134a,650,130
Unknown / Unknown,156 2.4 JTD / 156 2.4 JTD, / ,1997 - 2006,R134a,650,150
Unknown / Unknown,BRERA / BRERA, / ,2006 -,R134a,550,130
Unknown / Unknown,GIULIETTA(940) / GIULIETTA(940), / ,2010 -,R134a,450 ± 20,130
Unknown / Unknown,GT 1.9 JTD / GT 1.9 JTD, / ,2003 - 2006,R134a,600 ± 40,110
Unknown / Unknown,GTV 3.0 V6 24V / GTV 3.0 V6 24V, / ,1997 - 1999,R134a,700,285
Unknown / Unknown,GTV 3.0 V6 24V / GTV 3.0 V6 24V, / ,1999 - 2004,R134a,575,285
Unknown / Unknown,MITO(955) / MITO(955), / ,2008 -,R134a,500 ± 40,130
Unknown / Unknown,SPIDER/GTV 1.8 / SPIDER/GTV 1.8, / ,1998 - 2001,R134a,650 ± 50,290 ± 30
Unknown / Unknown,SPIDER/GTV 2.0 / SPIDER/GTV 2.0, / ,1996 - 2005,R134a,650 ± 50,290 ± 30
Unknown / Unknown,SPIDER/GTV V6 / SPIDER/GTV V6, / ,1996 - 2005,R134a,650 ± 50,240 ± 15
Unknown / Unknown,SPIDER(939) / SPIDER(939), / ,2006 -,R134a,460,130
Unknown / Unknown,SPRINT / SPRINT, / ,1987 - 1991,R12 → R134a,1150,見規格 / See Spec
AUDI / AUDI ,"此充填冷媒量僅供參考,正確請以原廠標示為準 / This refrigerant filling amount is for reference only. For correctness, please refer to the original factory label.", / ,,,,
車型 / Car model /  Car model,80/90/COUPE / 80/90/COUPE, / ,1986 - 1991,R12 → R134a,1050 ± 50,300 ± 20
車型 / Car model /  Car model,80/COUPE/CABRIO / 80/COUPE/CABRIO, / ,1991 - 1992,R12 → R134a,700 ± 50,300 ± 20
車型 / Car model /  Car model,80/COUPE/CABRIO 2.3 / 80/COUPE/CABRIO 2.3, / ,1991 - 1992,R12 → R134a,900 ± 50,300 ± 20
車型 / Car model /  Car model,80 2.3 / 80 2.3, / ,1992 - 1994,R134a,775 ± 25,275 ± 25
車型 / Car model /  Car model,100/200 / 100/200, / ,1983 - 1991,R12 → R134a,1100 ± 50,300 ± 20
車型 / Car model /  Car model,100/A6/S4/S6 / 100/A6/S4/S6, / ,1991 - 1992,R12 → R134a,1100 ± 50,300 ± 20
車型 / Car model /  Car model,100/A6/S4/S6 / 100/A6/S4/S6,Zexel / Zexel,1992 - 1997,R134a,775 ± 25,275 ± 25
車型 / Car model /  Car model,100/A6/S4/S6 / 100/A6/S4/S6,Denso / Denso,1992 - 1997,R134a,775 ± 25,275 ± 25
車型 / Car model /  Car model,A1 (8X1) / A1 (8X1),Sanden / Sanden,2010 -,R134a,500 ± 15,110 ± 10
