brand,model,info,year,refrigerant,amount,oil,source,created_at
AUDI,A1 8X1/8XA/8XF/8XK,,2010 - 2018,R134a/R1234yf,500 ± 450,100 ± 10,malaysia,2025-08-05T23:45:35.091445
AUDI,A1 GBA,,2018 -,R1234yf,450 ± 20,100 ± 10,malaysia,2025-08-05T23:45:35.091445
AUDI,A2 8X0,,2000 - 2007,R1234yf,520 ± 20,110 ± 10,malaysia,2025-08-05T23:45:35.091445
AUDI,A2,,2007 -,R1234yf,460 ± 20,90 ± 10,malaysia,2025-08-05T23:45:35.091445
AUDI,A3/S3 8L1,,1996 - 2003,R1234yf,740 ± 30,130 ± 10,malaysia,2025-08-05T23:45:35.091445
AUDI,A3/S3 8P1/8P&/8PA,,2003 - 2013,R1234yf,530 ± 20,110 ± 10,malaysia,2025-08-05T23:45:35.091445
AUDI,A3/S3 8V1/8V7/8V,,2012 - 2018,R134a/R1234yf,500 ± 460,110 ± 10,malaysia,2025-08-05T23:45:35.091445
AUDI,A3 e-tron 8VA/8V,,2014 -,R134a/R1234yf,500 ± 450,110 ± 10,malaysia,2025-08-05T23:45:35.091445
AUDI,A4/S4,,1994 - 1997,R1234yf,670 ± 20,130 ± 10,malaysia,2025-08-05T23:45:35.091445
AUDI,A4 S4,,1997 - 2000,R1234yf,730 ± 30,140 ± 10,malaysia,2025-08-05T23:45:35.091445
AUDI,A4/S4,,1998 - 2000,R1234yf,580 ± 20,110 ± 10,malaysia,2025-08-05T23:45:35.091445
AUDI,A4 Petrol,,2000 - 2004,R1234yf,500 ± 20,100 ± 10,malaysia,2025-08-05T23:45:35.091445
AUDI,A4 Diesel,,2000 - 2004,R1234yf,500 ± 20,100 ± 10,malaysia,2025-08-05T23:45:35.091445
AUDI,A4 8EC/8ED,,2004 -,R1234yf,500 ± 20,100 ± 10,malaysia,2025-08-05T23:45:35.091445
AUDI,A4/S4/RS4 8K,,2007 - 2012,R1234yf,600 ± 20,120 ± 10,malaysia,2025-08-05T23:45:35.091445
AUDI,A4/S4/RS4,,2015 -,R134a/R1234yf,590 ± 520,110 ± 10,malaysia,2025-08-05T23:45:35.091445
AUDI,A5/S/RS5/Cabrio,,2007 - 2012,R1234yf,580 ± 20,120 ± 10,malaysia,2025-08-05T23:45:35.091445
AUDI,A5/S/RS5,,2012 - 2017,R134a/R1234yf,550 ± 520,120 ± 10,malaysia,2025-08-05T23:45:35.091445
AUDI,A5/S5/RS5,,2017 -,R134a/R1234yf,570 ± 520,120 ± 10,malaysia,2025-08-05T23:45:35.091445
AUDI,A6/S6/RS6 4B,,1997 - 1999,R1234yf,800 ± 30,150 ± 10,malaysia,2025-08-05T23:45:35.091445
AUDI,A6/S6/RS6 4B,,1999 - 2005,R1234yf,700 ± 30,150 ± 10,malaysia,2025-08-05T23:45:35.091445
